Fecha,Muestreo,Hoja,x,y
15/3/2021,M17,30,-83.877957,9.265599
22/9/2020,M11,19,-83.877958,9.26556
4/8/2020,M1,89,-83.877959,9.263589
12/9/2020,M7,26,-83.877959,9.265418
1/12/2020,M14 ,45,-83.877959,9.264114
4/12/2020,M15,57,-83.877959,9.265016
17/9/2021,M20,63,-83.877959,9.264157
4/8/2020,M1,86,-83.87796,9.263573
2/12/2020,M14 ,68,-83.87796,9.265062
19/9/2020,M10,71,-83.877961,9.263485
22/9/2020,M11,40,-83.877961,9.263493
29/10/2020,M12,55,-83.877961,9.263502
4/12/2020,M15,54,-83.877961,9.265079
12/9/2020,M7,13,-83.877962,9.265035
16/9/2020,M9,27,-83.877962,9.264108
4/12/2020,M15,59,-83.877962,9.264873
18/3/2021,M18,42,-83.877962,9.263446
4/8/2020,M1,85,-83.877963,9.26356
11/8/2020,M4,15,-83.877963,9.265062
14/9/2020,M8,13,-83.877963,9.264989
2/12/2020,M14 ,52,-83.877963,9.265553
4/12/2020,M15,38,-83.877963,9.26564
17/9/2021,M20,57,-83.877963,9.263925
16/9/2020,M9,43,-83.877964,9.263537
2/12/2020,M14 ,122,-83.877964,9.263541
17/9/2021,M20,39,-83.877964,9.263537
11/8/2020,M4,65,-83.877965,9.265508
25/11/2020,M13,58,-83.877965,9.263581
2/12/2020,M14 ,73,-83.877965,9.265028
26/1/2021,M16,43,-83.877965,9.263875
4/8/2020,M1,75,-83.877966,9.263942
10/8/2020,M3,87,-83.877967,9.265074
11/8/2020,M4,38,-83.877967,9.263744
14/9/2020,M8,11,-83.877967,9.265099
4/12/2020,M15,37,-83.877967,9.265625
18/3/2021,M18,27,-83.877967,9.263835
18/9/2020,M10,20,-83.877968,9.265588
25/11/2020,M13,100,-83.877968,9.263941
8/8/2020,M2,71,-83.877969,9.265066
12/9/2020,M7,65,-83.877969,9.263685
1/12/2020,M14 ,47,-83.877969,9.263817
26/1/2021,M16,58,-83.877969,9.265604
15/3/2021,M17,73,-83.877969,9.264309
25/11/2020,M13,99,-83.87797,9.264034
4/8/2020,M1,84,-83.877972,9.263611
7/9/2020,M5,29,-83.877972,9.263807
18/9/2020,M10,13,-83.877973,9.265082
29/10/2020,M12,62,-83.877975,9.265648
21/4/2021,M19,112,-83.877975,9.263548
4/8/2020,M1,9,-83.877976,9.26502
4/8/2020,M1,92,-83.877976,9.263688
11/8/2020,M4,40,-83.877976,9.263527
8/9/2020,M6,9,-83.877976,9.265149
10/8/2020,M3,37,-83.877977,9.263562
12/9/2020,M7,22,-83.877977,9.265593
25/11/2020,M13,101,-83.877977,9.263936
7/8/2020,M2,45,-83.877978,9.263607
25/11/2020,M13,2,-83.877978,9.265552
11/8/2020,M4,58,-83.877979,9.265596
22/9/2020,M11,42,-83.877979,9.263651
2/12/2020,M14 ,50,-83.877979,9.265695
21/4/2021,M19,66,-83.877979,9.265042
17/9/2021,M20,42,-83.877979,9.263468
18/3/2021,M18,57,-83.87798,9.265062
4/8/2020,M1,73,-83.877983,9.263935
11/8/2020,M4,37,-83.877983,9.263776
4/12/2020,M15,36,-83.877984,9.265627
8/8/2020,M2,108,-83.877985,9.264931
11/8/2020,M4,83,-83.877985,9.263438
8/9/2020,M6,58,-83.877985,9.263626
12/9/2020,M7,64,-83.877985,9.263664
7/9/2020,M5,39,-83.877987,9.263546
21/4/2021,M19,87,-83.877987,9.264039
4/8/2020,M1,74,-83.877988,9.263944
7/9/2020,M5,66,-83.877988,9.265039
12/9/2020,M7,14,-83.877988,9.265039
26/1/2021,M16,97,-83.877988,9.263622
7/9/2020,M5,54,-83.87799,9.265198
19/9/2020,M10,67,-83.87799,9.263807
2/12/2020,M14 ,66,-83.87799,9.265035
4/12/2020,M15,70,-83.87799,9.265199
4/8/2020,M1,30,-83.877991,9.265043
4/8/2020,M1,40,-83.877991,9.26503
4/12/2020,M15,56,-83.877992,9.265082
8/8/2020,M2,73,-83.877993,9.265102
18/3/2021,M18,56,-83.877993,9.265002
4/8/2020,M1,76,-83.877994,9.263952
18/3/2021,M18,41,-83.877994,9.263485
4/8/2020,M1,72,-83.877995,9.263918
11/8/2020,M4,59,-83.877995,9.265654
29/10/2020,M12,87,-83.877995,9.265094
25/11/2020,M13,12,-83.877995,9.26516
2/12/2020,M14 ,123,-83.877995,9.263643
15/3/2021,M17,31,-83.877997,9.265692
21/4/2021,M19,57,-83.877997,9.265163
4/8/2020,M1,135,-83.877998,9.263998
12/9/2020,M7,11,-83.877998,9.265146
25/11/2020,M13,14,-83.877998,9.265154
15/3/2021,M17,79,-83.877998,9.263898
15/3/2021,M17,78,-83.877999,9.263853
21/4/2021,M19,102,-83.877999,9.263525
17/9/2021,M20,41,-83.877999,9.263504
7/8/2020,M2,47,-83.878,9.26356
10/8/2020,M3,68,-83.878,9.263489
29/10/2020,M12,61,-83.878,9.265646
17/9/2021,M20,52,-83.878001,9.263827
14/9/2020,M8,5,-83.878002,9.264974
25/11/2020,M13,59,-83.878002,9.263566
11/8/2020,M4,39,-83.878003,9.263547
12/9/2020,M7,54,-83.878003,9.264382
2/12/2020,M14 ,65,-83.878003,9.265087
14/9/2020,M8,31,-83.878004,9.265665
11/8/2020,M4,41,-83.878005,9.263601
22/9/2020,M11,10,-83.878005,9.265088
29/10/2020,M12,44,-83.878005,9.26418
26/1/2021,M16,101,-83.878005,9.263664
16/9/2020,M9,39,-83.878006,9.263689
15/3/2021,M17,75,-83.878006,9.264017
26/1/2021,M16,102,-83.878007,9.263655
15/3/2021,M17,76,-83.878007,9.263975
8/9/2020,M6,62,-83.878008,9.263638
12/9/2020,M7,12,-83.878008,9.265133
19/9/2020,M10,72,-83.878008,9.263443
29/10/2020,M12,54,-83.878009,9.263694
2/12/2020,M14 ,72,-83.87801,9.264992
21/4/2021,M19,97,-83.87801,9.263713
19/9/2020,M10,69,-83.878011,9.263722
2/12/2020,M14 ,107,-83.878011,9.263785
4/8/2020,M1,8,-83.878012,9.265062
2/12/2020,M14 ,71,-83.878012,9.265015
4/12/2020,M15,41,-83.878012,9.265524
2/12/2020,M14 ,111,-83.878013,9.263573
26/1/2021,M16,66,-83.878014,9.265036
8/8/2020,M2,74,-83.878015,9.265123
11/8/2020,M4,14,-83.878015,9.265093
12/9/2020,M7,21,-83.878015,9.265676
14/9/2020,M8,55,-83.878015,9.263469
19/9/2020,M10,76,-83.878015,9.26345
4/8/2020,M1,31,-83.878017,9.265001
21/4/2021,M19,103,-83.878017,9.263496
7/9/2020,M5,44,-83.878018,9.263546
14/9/2020,M8,6,-83.878018,9.264982
15/3/2021,M17,83,-83.878018,9.263592
18/3/2021,M18,58,-83.878018,9.265174
21/4/2021,M19,98,-83.878018,9.26367
7/9/2020,M5,28,-83.878019,9.263926
7/9/2020,M5,47,-83.878019,9.265689
4/8/2020,M1,32,-83.87802,9.265038
2/12/2020,M14 ,67,-83.87802,9.265039
21/4/2021,M19,100,-83.87802,9.263593
4/8/2020,M1,29,-83.878021,9.264998
8/9/2020,M6,61,-83.878021,9.263576
26/1/2021,M16,80,-83.878021,9.263512
16/9/2020,M9,44,-83.878022,9.263525
11/8/2020,M4,60,-83.878023,9.265627
8/9/2020,M6,1,-83.878023,9.265574
14/9/2020,M8,9,-83.878023,9.265035
19/9/2020,M10,70,-83.878023,9.263505
21/4/2021,M19,50,-83.878023,9.265608
